question,option_a,option_b,option_c,option_d,answer,explanation,difficulty
"Which organ is primarily responsible for detoxification of harmful substances in the human body?","Liver","Kidney","Heart","Lung",A,"The liver metabolizes and neutralizes toxins, drugs, and metabolic waste products.",MEDIUM
"The functional unit of the kidney is called:","Nephron","Alveolus","Neuron","Villus",A,"Each nephron filters blood to form urine and regulates fluid and electrolyte balance.",MEDIUM
"Which vitamin is essential for blood clotting?","Vitamin A","Vitamin C","Vitamin K","Vitamin D",C,"Vitamin K is required for the synthesis of clotting factors II, VII, IX, and X.",MEDIUM
"The disease caused by deficiency of iodine is:","Goitre","Scurvy","Rickets","Beriberi",A,"Iodine deficiency leads to reduced thyroid hormone production and thyroid enlargement (goitre).",MEDIUM
"Which system is responsible for transporting oxygen and nutrients to cells?","Digestive system","Circulatory system","Nervous system","Respiratory system",B,"The circulatory system, via blood, delivers oxygen from the lungs and nutrients from the digestive tract to all body cells.",MEDIUM
"The enzyme that breaks down starch in the mouth is:","Pepsin","Amylase","Lipase","Trypsin",B,"Salivary amylase (ptyalin) initiates carbohydrate digestion by hydrolyzing starch into maltose.",MEDIUM
"Which of the following is a water‑soluble vitamin?","Vitamin D","Vitamin E","Vitamin B12","Vitamin A",C,"Vitamin B12 (cobalamin) dissolves in water and is not stored in large amounts in the body.",MEDIUM
"The condition characterized by high blood sugar levels is:","Hypoglycemia","Hyperglycemia","Hypertension","Anemia",B,"Hyperglycemia refers to elevated glucose concentration in the blood, a hallmark of diabetes mellitus.",MEDIUM
"Which part of the brain controls voluntary movements?","Cerebellum","Medulla oblongata","Cerebral cortex","Pons",C,"The primary motor cortex located in the frontal lobe of the cerebral cortex initiates voluntary muscle contractions.",MEDIUM
"The nutrient that provides the most energy per gram is:","Carbohydrate","Protein","Fat","Vitamin",C,"Fats yield approximately 9 kcal/g, whereas carbohydrates and proteins provide about 4 kcal/g each.",MEDIUM
"Which organ is primarily responsible for pumping blood throughout the body?","Liver","Heart","Lungs","Kidney",B,"The heart acts as a muscular pump that circulates blood via the circulatory system.",MEDIUM
"The process of gas exchange (oxygen and carbon dioxide) occurs in which part of the respiratory system?","Trachea","Bronchi","Alveoli","Pharynx",C,"Alveoli are tiny air sacs in the lungs where oxygen enters the blood and carbon dioxide leaves.",MEDIUM
"Which vitamin deficiency leads to scurvy?","Vitamin A","Vitamin B12","Vitamin C","Vitamin D",C,"Scurvy results from lack of vitamin C, needed for collagen synthesis.",MEDIUM
"The functional unit of the kidney is called?","Neuron","Nephron","Hepatocyte","Alveolus",B,"Each nephron filters blood to form urine.",MEDIUM
"Which of the following is a symptom of anemia?","High blood pressure","Pale skin","Increased appetite","Fever",B,"Anemia reduces red blood cells, causing pallor due to low hemoglobin.",MEDIUM
"The hormone insulin is secreted by which organ?","Pancreas","Thyroid","Adrenal gland","Pituitary",A,"Insulin is produced by the beta cells of the pancreas to regulate blood glucose.",MEDIUM
"Which nutrient is essential for the formation of hemoglobin?","Calcium","Iron","Vitamin D","Fiber",B,"Iron is a core component of heme in hemoglobin, enabling oxygen transport.",MEDIUM
"The largest part of the human brain is?","Cerebellum","Medulla oblongata","Cerebrum","Pons",C,"The cerebrum constitutes about 85% of brain weight and controls higher functions.",MEDIUM
"Which disease is caused by the deficiency of iodine?","Goiter","Rickets","Scurvy","Beriberi",A,"Iodine deficiency impairs thyroid hormone production, leading to goiter.",MEDIUM
"The process of breaking down food into smaller molecules for absorption is called?","Respiration","Circulation","Digestion","Excretion",C,"Digestion involves mechanical and chemical breakdown of food into absorbable nutrients.",MEDIUM
"Which organ is responsible for pumping blood throughout the body?","Heart","Lungs","Liver","Kidney",A,"The heart is a muscular organ that pumps blood to all parts of the body.",MEDIUM
"The process of gas exchange occurs in which part of the respiratory system?","Trachea","Bronchi","Alveoli","Pharynx",C,"Alveoli are tiny air sacs where oxygen and carbon dioxide are exchanged between air and blood.",MEDIUM
"Which vitamin deficiency causes scurvy?","Vitamin A","Vitamin C","Vitamin D","Vitamin K",B,"Scurvy results from lack of vitamin C, essential for collagen synthesis.",MEDIUM
"The longest bone in the human body is?","Femur","Tibia","Humerus","Radius",A,"The femur, or thigh bone, is the longest and strongest bone.",MEDIUM
"Which system is responsible for removing waste products and regulating fluid balance?","Digestive","Excretory","Nervous","Endocrine",B,"The excretory (urinary) system, mainly kidneys, filters waste and regulates fluid.",MEDIUM
"Which nutrient is primarily responsible for building and repairing tissues?","Carbohydrates","Fats","Proteins","Vitamins",C,"Proteins provide amino acids needed for tissue growth and repair.",MEDIUM
"The condition characterized by high blood sugar levels is known as?","Hypertension","Hyperglycemia","Hypoglycemia","Anemia",B,"Hyperglycemia refers to elevated glucose concentration in the blood.",MEDIUM
"Which vitamin is synthesized by the skin upon exposure to sunlight?","Vitamin A","Vitamin B12","Vitamin C","Vitamin D",D,"UVB radiation converts 7-dehydrocholesterol in the skin to vitamin D3.",MEDIUM
"Which organ is primarily responsible for the detoxification of chemicals and metabolism of drugs?","Heart","Liver","Kidney","Lungs",B,"The liver performs detoxification and drug metabolism through enzymatic pathways.",MEDIUM
"The functional unit of the kidney that filters blood to form urine is called:","Nephron","Alveolus","Villus","Sarcomere",A,"Each kidney contains about a million nephrons, which are the functional filtration units.",MEDIUM
"Which vitamin deficiency leads to night blindness?","Vitamin A","Vitamin C","Vitamin D","Vitamin K",A,"Vitamin A is essential for rhodopsin synthesis in retinal rods; its deficiency causes night blindness.",MEDIUM
"The hormone that regulates blood glucose levels by promoting cellular uptake of glucose is:","Glucagon","Insulin","Adrenaline","Thyroxine",B,"Insulin, secreted by pancreatic beta cells, facilitates glucose transport into cells.",MEDIUM
"The disease 'rickets' in children is caused by deficiency of:","Iron","Calcium","Vitamin D","Protein",C,"Vitamin D deficiency impairs calcium absorption, leading to defective bone mineralization (rickets).",MEDIUM
"Which part of the brain controls vital autonomic functions such as heart rate and respiration?","Cerebrum","Cerebellum","Medulla oblongata","Thalamus",C,"The medulla oblongata in the brainstem regulates heartbeat, breathing, and blood pressure.",MEDIUM
"The primary site of nutrient absorption in the human digestive system is the:","Stomach","Duodenum","Jejunum","Colon",C,"Most digested nutrients (carbohydrates, proteins, fats, vitamins, minerals) are absorbed in the jejunum of the small intestine.",MEDIUM
"Which blood component is responsible for clotting?","Red blood cells","White blood cells","Platelets","Plasma",C,"Platelets (thrombocytes) aggregate at injury sites and initiate the coagulation cascade.",MEDIUM
"Excessive intake of which nutrient can lead to hypertension?","Potassium","Sodium","Magnesium","Fiber",B,"High sodium intake increases extracellular fluid volume, raising blood pressure.",MEDIUM
"The process of gas exchange in lungs occurs in which structure?","Bronchi","Alveoli","Trachea","Diaphragm",B,"Alveoli are tiny air sacs where oxygen and carbon dioxide are exchanged between air and blood.",MEDIUM
"The hormone insulin is produced by which organ?","Pancreas","Thyroid","Adrenal gland","Pituitary",A,"Beta cells of the pancreas secrete insulin to regulate blood glucose levels.",MEDIUM
"Which disease is caused by deficiency of iodine?","Goitre","Scurvy","Rickets","Anaemia",A,"Iodine deficiency leads to enlarged thyroid gland, known as goitre.",MEDIUM
"The largest gland in the human body is?","Liver","Pancreas","Thyroid","Salivary gland",A,"The liver is the largest internal organ and performs numerous metabolic functions.",MEDIUM
"Which nutrient provides the most energy per gram?","Carbohydrate","Protein","Fat","Vitamin",C,"Fats yield about 9 kcal/g, more than double the energy provided by carbohydrates or proteins.",MEDIUM
"The part of the brain responsible for coordinating voluntary movements and balance is?","Cerebrum","Cerebellum","Medulla oblongata","Hippocampus",B,"The cerebellum fine‑tunes motor activity and maintains posture and equilibrium.",MEDIUM
"Which organ is primarily responsible for detoxification of chemicals and metabolism of drugs?","Kidney","Liver","Spleen","Pancreas",B,"The liver metabolizes drugs and detoxifies harmful substances through enzymatic pathways.",MEDIUM
"The hormone that lowers blood glucose level is:","Glucagon","Insulin","Epinephrine","Cortisol",B,"Insulin facilitates cellular uptake of glucose, reducing blood sugar levels.",MEDIUM
"Which part of the brain controls autonomic functions like heart rate and respiration?","Cerebrum","Cerebellum","Medulla oblongata","Thalamus",C,"The medulla oblongata regulates vital autonomic functions including cardiac and respiratory centers.",MEDIUM
"Iron deficiency leads to which condition?","Scurvy","Rickets","Anemia","Goiter",C,"Iron is a key component of hemoglobin; its deficiency causes iron‑deficiency anemia.",MEDIUM
"The process of gas exchange in lungs occurs in:","Bronchi","Trachea","Alveoli","Larynx",C,"Alveoli are tiny air sacs where oxygen diffuses into blood and carbon dioxide diffuses out.",MEDIUM
"Which nutrient is classified as a macronutrient and provides 9 kcal per gram?","Carbohydrate","Protein","Fat","Vitamin",C,"Fats yield approximately 9 kilocalories per gram, more than carbs or protein.",MEDIUM
"Which of the following is NOT a part of the human digestive system?","Stomach","Liver","Lung","Small intestine",C,"The lung belongs to the respiratory system, not the digestive tract.",MEDIUM
"Which organ is responsible for pumping blood?","Heart","Liver","Kidney","Lungs",A,"The heart is a muscular organ that contracts to pump blood throughout the circulatory system.",MEDIUM
"The functional unit of the kidney is the?","Neuron","Nephron","Alveolus","Hepatocyte",B,"Each nephron filters blood to produce urine, making it the kidney's functional unit.",MEDIUM
"The largest gland in the human body is the?","Liver","Pancreas","Thyroid","Adrenal",A,"The liver is the largest internal organ and gland, performing many metabolic functions.",MEDIUM
"Which system is responsible for gas exchange?","Digestive","Respiratory","Nervous","Skeletal",B,"The respiratory system (lungs and airways) exchanges oxygen and carbon dioxide with the blood.",MEDIUM
"Deficiency of iodine leads to?","Goiter","Scurvy","Rickets","Anemia",A,"Iodine deficiency impairs thyroid hormone production, causing enlargement of the thyroid gland (goiter).",MEDIUM
"The hormone that regulates blood sugar level is?","Insulin","Adrenaline","Thyroxine","Growth hormone",A,"Insulin lowers blood glucose by facilitating cellular uptake; its deficiency causes diabetes.",MEDIUM
"The part of the brain responsible for coordination and balance is the?","Cerebrum","Cerebellum","Medulla","Thalamus",B,"The cerebellum fine‑tunes motor activity, maintaining posture and equilibrium.",MEDIUM
"Which disease is caused by deficiency of vitamin C?","Beriberi","Pellagra","Scurvy","Night blindness",C,"Vitamin C deficiency impairs collagen synthesis, leading to scurvy characterized by bleeding gums and poor wound healing.",MEDIUM
"Which system is primarily involved in the exchange of gases (oxygen and carbon dioxide) in the human body?","Digestive","Nervous","Respiratory","Endocrine",C,"The respiratory system, comprising lungs and airways, facilitates inhalation of oxygen and exhalation of carbon dioxide.",MEDIUM
"Deficiency of which vitamin leads to the disease scurvy?","Vitamin A","Vitamin B1","Vitamin C","Vitamin D",C,"Scurvy results from insufficient vitamin C, which is essential for collagen synthesis and wound healing.",MEDIUM
"Which nutrient is the body's main source of immediate energy?","Proteins","Fats","Carbohydrates","Vitamins",C,"Carbohydrates are broken down into glucose, which cells use as a primary energy source.",MEDIUM
"Which organ filters waste products from the blood to form urine?","Liver","Spleen","Kidney","Pancreas",C,"Kidneys filter blood, removing urea and excess salts, and produce urine for excretion.",MEDIUM
"Deficiency of which mineral causes goitre (enlargement of the thyroid gland)?","Iron","Calcium","Iodine","Zinc",C,"Iodine is required for thyroid hormone synthesis; its deficiency leads to compensatory thyroid enlargement known as goitre.",MEDIUM
"Which is the longest bone in the human body?","Humerus","Tibia","Femur","Radius",C,"The femur (thigh bone) extends from the hip to the knee and is the longest and strongest bone.",MEDIUM
"Which part of the brain is mainly responsible for maintaining balance and coordination?","Cerebrum","Cerebellum","Medulla oblongata","Thalamus",B,"The cerebellum coordinates voluntary movements, posture, and equilibrium.",MEDIUM
"Which vitamin is synthesized in the skin upon exposure to sunlight?","Vitamin A","Vitamin C","Vitamin D","Vitamin K",C,"UVB radiation converts 7-dehydrocholesterol in the skin to previtamin D3, which then becomes vitamin D3.",MEDIUM
"Which system transports hormones from their glands to target organs throughout the body?","Nervous","Digestive","Circulatory","Lymphatic",C,"Hormones are secreted into the bloodstream by endocrine glands and carried via the circulatory system to their target tissues.",MEDIUM
"Which organ is primarily responsible for detoxification of chemicals and metabolism in the human body?","Heart","Liver","Lung","Kidney",B,"The liver processes toxins, drugs, and metabolic waste, making it the main detoxifying organ.",MEDIUM
"Which vitamin is essential for the synthesis of clotting factors in the blood?","Vitamin A","Vitamin C","Vitamin D","Vitamin K",D,"Vitamin K acts as a cofactor for the carboxylation of clotting factors II, VII, IX, and X.",MEDIUM
"Deficiency of which nutrient leads to the development of goiter?","Iodine","Iron","Vitamin C","Calcium",A,"Iodine is required for thyroid hormone synthesis; its deficiency causes thyroid enlargement (goiter).",MEDIUM
"Which system is responsible for the exchange of gases (oxygen and carbon dioxide) in the body?","Digestive","Respiratory","Circulatory","Nervous",B,"The respiratory system, comprising lungs and airways, facilitates gas exchange with the blood.",MEDIUM
"The metal ion at the center of hemoglobin that binds oxygen is:","Calcium","Iron","Zinc","Copper",B,"Iron (Fe2+) in the heme group of hemoglobin reversibly binds O2 for transport.",MEDIUM
"The pancreas secretes digestive enzymes that act on:","Carbohydrates only","Proteins only","Fats only","All three macronutrients",D,"Pancreatic enzymes include amylase (carbs), proteases (proteins), and lipase (fats).",MEDIUM
"Which of the following vitamins is water‑soluble?","Vitamin A","Vitamin D","Vitamin E","Vitamin C",D,"Vitamin C (ascorbic acid) dissolves in water and is not stored in large amounts in the body.",MEDIUM
"Hypertension is a disorder primarily affecting which system?","Endocrine","Nervous","Cardiovascular","Digestive",C,"High blood pressure reflects increased force of blood against artery walls, a cardiovascular issue.",MEDIUM
"Osteoporosis results from a long‑term deficiency of which nutrient?","Vitamin C","Calcium","Iron","Protein",B,"Calcium is a major mineral of bone; insufficient intake leads to reduced bone density and osteoporosis.",MEDIUM
"Deficiency of which vitamin leads to scurvy?","Vitamin A","Vitamin C","Vitamin D","Vitamin K",B,"Vitamin C is essential for collagen synthesis; its deficiency causes scurvy, characterized by bleeding gums and poor wound healing.",MEDIUM
"Which is the largest gland in the human body?","Liver","Pancreas","Thyroid","Pituitary",A,"The liver is the largest internal gland, performing metabolism, detoxification, and bile production.",MEDIUM
"Which system is primarily responsible for gas exchange in the body?","Digestive","Respiratory","Circulatory","Nervous",B,"The respiratory system, comprising lungs and airways, exchanges oxygen and carbon dioxide with the blood.",MEDIUM
"Insulin is secreted by which organ?","Pancreas","Adrenal gland","Thyroid","Pituitary",A,"Beta cells of the pancreatic islets produce insulin, regulating blood glucose levels.",MEDIUM
"Which nutrient is mainly used for building and repairing body tissues?","Carbohydrates","Fats","Proteins","Vitamins",C,"Proteins provide amino acids that are the building blocks for muscle, enzymes, and tissue repair.",MEDIUM
"Anemia most commonly results from deficiency of which mineral?","Calcium","Iron","Sodium","Potassium",B,"Iron is essential for hemoglobin synthesis; its deficiency reduces oxygen‑carrying capacity of blood, causing anemia.",MEDIUM
"The brain is surrounded by three protective layers known as?","Meninges","Peritoneum","Pleura","Pericardium",A,"The meninges (dura mater, arachnoid mater, pia mater) envelop and protect the central nervous system.",MEDIUM
"Which part of the digestive tract absorbs the majority of water?","Stomach","Small intestine","Large intestine","Esophagus",C,"The large intestine (colon) reabsorbs water and electrolytes from indigestible food matter, forming solid feces.",MEDIUM
