question,option_a,option_b,option_c,option_d,answer,explanation,difficulty
"Which of the following is the debut novel of Vaikom Muhammad Basheer?","Balyakalasakhi","Pathummayude Aadu","Ntuppuppakkoranendarnnu","Premalekhanam",B,"Pathummayude Aadu (1942) is considered Basheer's first novel, marking the start of his literary career.",MEDIUM
"Thakazhi Sivasankara Pillai's novel ""Chemmeen"" won which prestigious award in 1956?","Sahitya Akademi Award","Jnanpith Award","Kerala Sahitya Akademi Award","Vayalar Award",A,"Chemmeen received the Sahitya Akademi Award for Malayalam in 1956.",MEDIUM
"O.V. Vijayan's famous novel ""Khasakkinte Itihasam"" was originally written in which language?","Malayalam","English","Tamil","Hindi",A,"Khasakkinte Itihasam was first published in Malayalam in 1969 and later translated into several languages.",MEDIUM
"In Basheer's novel ""Balyakalasakhi"", who is the protagonist?","Majeed","Suhra","Keshavan","Abu",A,"The story revolves around Majeed, a young man whose love for Suhra forms the core of the narrative.",MEDIUM
"Which work by Thakazhi Sivasankara Pillai is set against the backdrop of the 1946 Punnapra-Vayalar uprising?","Chemmeen","Thottiyude Makan","Randidangazhi","Kayar",C,"Randidangazhi (Two Measures) depicts the agrarian struggle and the Punnapra-Vayalar revolt of 1946.",MEDIUM
"O.V. Vijayan received the Sahitya Akademi Award for Malayalam for which of his works?","Gurusahayam","Khasakkinte Itihasam","Dharmapuranam","Padamudra",A,"The novel Gurusahayam won the Sahitya Akademi Award in 1989.",MEDIUM
"Which of the following is NOT a work of Vaikom Muhammad Basheer?","Balyakalasakhi","Chemmeen","Mathilukal","Pathummayude Aadu",B,"Chemmeen is a novel by Thakazhi Sivasankara Pillai, not by Basheer.",MEDIUM
"Thakazhi Sivasankara Pillai was honoured with the Ezhuthachan Puraskaram in which year for his lifetime contribution to Malayalam literature?","1978","1984","1990","1995",B,"The Ezhuthachan Puraskaram, Kerala's highest literary award, was conferred on Thakazhi in 1984.",MEDIUM
"O.V. Vijayan's ""The Legends of Khasak"" is the English translation of which Malayalam work?","Khasakkinte Itihasam","Dharmapuranam","Gurusahayam","Padamudra",A,"The Legends of Khasak is the English version of Vijayan's Malayalam novel Khasakkinte Itihasam.",MEDIUM
"In Basheer's autobiographical work ""Mathilukal"", which female character represents the imprisoned woman with whom the narrator communicates through signs?","Narayani","Keshavan","Basheer himself","Sulekha",A,"Narayani is the female prisoner whose silent love story with the narrator forms the heart of Mathilukal.",MEDIUM
"Which of the following is a novel by Vaikom Muhammad Basheer?","Chemmeen","Pathummayude Aadu","Khasakkinte Itihasam","Randamoozham",B,"Pathummayude Aadu is a well-known novel written by Vaikom Muhammad Basheer, first published in 1959.",MEDIUM
"Thakazhi Sivasankara Pillai's novel 'Chemmeen' won which national award in 1958?","Kerala Sahitya Akademi Award","Sahitya Akademi Award","Jnanpith Award","Vayalar Award",B,"Chemmeen received the Sahitya Akademi Award in 1958, recognizing its literary excellence.",MEDIUM
"In which year was O. V. Vijayan's novel 'Khasakkinte Itihasam' first published as a book?","1965","1969","1971","1975",C,"Although serialized in 1969, the book version of Khasakkinte Itihasam appeared in 1971.",MEDIUM
"Who is the male protagonist in Vaikom Muhammad Basheer's novel 'Balyakalasakhi'?","Majeed","Kunjunni","Ahmad","Zahir",A,"The story centers on Majeed, whose love for Suhra drives the narrative of Balyakalasakhi.",MEDIUM
"Which Indian literary award did Thakazhi Sivasankara Pillai receive in 1984?","Sahitya Akademi Award","Jnanpith Award","Kerala Sahitya Akademi Award","Vayalar Award",B,"Thakazhi was honored with the Jnanpith Award in 1984 for his outstanding contribution to Indian literature.",MEDIUM
"Who is the central character in O. V. Vijayan's novel 'Khasakkinte Itihasam'?","Ravi","Kunjunni","Appu","Sankaran",A,"The narrative follows a young man named Ravi who arrives in the village of Khasak and transforms the lives of its inhabitants.",MEDIUM
"Which of the following works is NOT authored by Vaikom Muhammad Basheer?","Balyakalasakhi","Ntuppuppakkoranendarnnu","Randamoozham","Mathilukal",C,"Randamoozham is a novel by M. T. Vasudevan Nair, not by Basheer.",MEDIUM
"Thakazhi Sivasankara Pillai's novel 'Kayar' received which award?","Kerala Sahitya Akademi Award","Sahitya Akademi Award","Jnanpith Award","Vayalar Award",B,"Kayar was awarded the Sahitya Akademi Award in 1978 for its depiction of coir workers' lives.",MEDIUM
"O. V. Vijayan won the Sahitya Akademi Award in 1973 for which work?","Khasakkinte Itihasam","Gurusagaram","Dharmapuranam","Pravaham",A,"The Sahitya Akademi Award 1973 was given to O. V. Vijayan for his novel Khasakkinte Itihasam.",MEDIUM
"In Vaikom Muhammad Basheer's 'Mathilukal', who serves as the narrator/protagonist?","Basheer","Majeed","Kunjunni","Zahir",A,"The novel is autobiographical; Basheer himself narrates his experiences of love and imprisonment.",MEDIUM
"Which work of Vaikom Muhammad Basheer won the Sahitya Akademi Award in 1970?","Pathummayude Aadu","Balyakalasakhi","Mathilukal","Shabdangal",B,"Balyakalasakhi (Childhood Friend) earned Basheer the Sahitya Akademi Award in 1970.",MEDIUM
"In Basheer's novel ""Mathilukal"", the female protagonist is named:","Suhra","Karuthamma","Narayani","Pathumma",C,"The novel depicts the love between the narrator (Basheer) and Narayani, a female prisoner.",MEDIUM
"Which of the following is a short story collection by Vaikom Muhammad Basheer?","Kayar","Shabdangal","Chemmeen","Thottiyude Makan",B,"Shabdangal is a well‑known collection of Basheer’s short stories.",MEDIUM
"Thakazhi Sivasankara Pillai received the Jnanpith Award for which work?","Chemmeen","Kayar","Thottiyude Makan","Randidangazhi",B,"He was honoured with the Jnanpith Award in 1984 for his novel Kayar.",MEDIUM
"The novel ""Chemmeen"" by Thakazhi features which female lead?","Karuthamma","Narayani","Suhra","Pathumma",A,"Karuthamma is the central female character in the tragic love story Chemmeen.",MEDIUM
"O. V. Vijayan's seminal novel ""Khasakkinte Itihasam"" is set in which fictional village?","Khasak","Thalassery","Kozhikode","Kottayam",A,"The narrative unfolds in the imagined village of Khasak, central to the novel’s theme.",MEDIUM
"Which award did O. V. Vijayan receive in 1990?","Padma Bhushan","Padma Shri","Jnanpith","Sahitya Akademi Fellowship",B,"He was conferred the Padma Shri by the Government of India in 1990.",MEDIUM
"In Thakazhi's ""Thottiyude Makan"", the protagonist is the son of which character?","Thotti","Karuthamma","Kunjunni","Pareekkutty",A,"The title translates to ""Son of Thotti"", indicating the protagonist’s lineage.",MEDIUM
"Which of the following works is NOT by Vaikom Muhammad Basheer?","Balyakalasakhi","Mathilukal","Kayar","Shabdangal",C,"Kayar is a novel by Thakazhi Sivasankara Pillai, not by Basheer.",MEDIUM
"The Vayalar Award 1974 was given to O. V. Vijayan for which work?","Khasakkinte Itihasam","Dharmapuranam","Gurusahayam","Madhavikkutty",B,"He received the Vayalar Award in 1974 for his novel Dharmapuranam.",MEDIUM
"In Basheer's novel ""Pathummayude Aadu"", the central animal character is:","a cow","a goat","a buffalo","a dog",B,"The title itself refers to Pathumma, a goat that becomes the focus of the narrator's affection.",MEDIUM
"Which work of Thakazhi Sivasankara Pillai won the Jnanpith Award in 1984?","Chemmeen","Thotiyude Makan","Kayar","Randidangazhi",C,"Kayar (Coir) received the Jnanpith Award in 1984, recognizing its epic portrayal of rural life.",MEDIUM
"The protagonist of Thakazhi's novel ""Chemmeen"" is:","Karuthamma","Pareekkutty","Kunjunni","Velayudhan",A,"Karuthamma is the central female character whose love and tragedy drive the narrative of Chemmeen.",MEDIUM
"O.V. Vijayan's novel ""Khasakkinte Itihasam"" is set in which fictional village?","Khasak","Kumarakom","Kavalam","Kuttanad",A,"The novel takes place in the imagined village of Khasak, where the protagonist Ravi arrives as a school teacher.",MEDIUM
"Which award did Vaikom Muhammad Basheer receive in 1982?","Padma Bhushan","Padma Shri","Padma Vibhushan","Sahitya Akademi Award",B,"Basheer was honoured with the Padma Shri, India's fourth-highest civilian award, in 1982.",MEDIUM
"The short story ""Anargha Nimisham"" is authored by:","Thakazhi Sivasankara Pillai","O.V. Vijayan","Vaikom Muhammad Basheer","M.T. Vasudevan Nair",C,"Anargha Nimisham (An Unrepeatable Moment) is a well‑known short story by Vaikom Muhammad Basheer.",MEDIUM
"In O.V. Vijayan's ""Khasakkinte Itihasam"", the school teacher who comes to the village is named:","Ravi","Sreedhar","Madhavan","Govindan",A,"The protagonist, a young school teacher named Ravi, narrates his experiences in the village of Khasak.",MEDIUM
"Which of the following works is NOT written by Thakazhi Sivasankara Pillai?","Chemmeen","Kayar","Khasakkinte Itihasam","Thotiyude Makan",C,"Khasakkinte Itihasam is a novel by O.V. Vijayan, not by Thakazhi Sivasankara Pillai.",MEDIUM
"The character ""Narayani"" appears in which work of Vaikom Muhammad Basheer?","Balyakalasakhi","Pathummayude Aadu","Mathilukal","Shabdangal",C,"In Mathilukal (The Walls), Narayani is the woman with whom the narrator communicates through a prison wall.",MEDIUM
"Which novel by Vaikom Muhammad Basheer is titled 'Balyakalasakhi'?","Ntuppuppakkoranendarnnu","Balyakalasakhi","Pathummayude Aadu","Mathilukal",B,"Balyakalasakhi is a well-known romantic novel written by Vaikom Muhammad Basheer, first published in 1944.",MEDIUM
"Which work of Thakazhi Sivasankara Pillai won the Sahitya Akademi Award in 1961?","Chemmeen","Kayar","Thottiyude Makan","Randidangazhi",A,"Thakazhi's novel 'Chemmeen' received the Sahitya Akademi Award in 1961 for its outstanding contribution to Malayalam literature.",MEDIUM
"O.V. Vijayan's famous novel 'Khasakkinte Itihasam' was first published in which year?","1965","1969","1973","1977",B,"'Khasakkinte Itihasam' was first published in 1969 and is considered a masterpiece of modern Malayalam fiction.",MEDIUM
"In Basheer's novel 'Pathummayude Aadu', who is the central female character?","Pathumma","Sulekha","Kunjumol","Amina",A,"The novel revolves around the life and experiences of Pathumma, the titular character, and her goat.",MEDIUM
