question,option_a,option_b,option_c,option_d,answer,explanation,difficulty
"പഴമൊഴി: ""അമ്മയുടെ കൈകളിൽ പെട്ടു"" - এর അർത്ഥം എന്ത്?","ജനനം പലവളര്‍ത്തിയുള്ളതില്‍","മാതാവിന്റെ കൈകളിൽ ജനനം (മാതാവിന്റെ പരിചരണം)","ഭാഗ്യവാനായുള്ള Janmam","ധനവാനായ കുടുംബത്തില്‍ Janmam",B,"ഈ പഴമൊഴി പുതുതായി ജനിച്ച குழവന്‍ മാതാവിന്റെ സ്നേഹത്തില്‍ വളര്‍ന്നെന്ന് സൂചിപ്പിക്കുന്നു – ‘born and brought up in mother’s care’.",MEDIUM
"പഴമൊഴി: ""പാല്‍ കുട്ടി പാല്‍ കുട്ടി"" - এর ഇംഗ്ലീഷ് സമതുല്യം എന്ത്?","Like father, like son","Like mother, like daughter","Like teacher, like student","Like master, like servant",A,"മകന്‍ പിതാവിന്റെ സ്വഭാവം یا qualités അനുസരിച്ച് വളര്‍ന്നെന്ന് സൂചിക്കുന്ന പഴമൊഴിയായി, ഇംഗ്ലീഷിൽ ""Like father, like son"" എന്നതാണ് സമതുല്യം.",MEDIUM
"പഴമൊഴി: ""മൃഗം കണ്ടു പെറുക്കുക"" - এর അർത്ഥം എന്ത്?","Don't count your chickens before they hatch","Don't cry over spilled milk","Look before you leap","A bird in hand is worth two in the bush",A,"ഈ പഴമൊഴി ഭവിഷ്യৎ ലഭിക്കുമെന്ന് ഉम्मതിയുള്ള പ്രഖ്യാപനങ്ങൾ ചെയ്യരുത് – ‘don’t count your chickens before they hatch’ എന്ന അർത്ഥം.",MEDIUM
"പഴമൊഴി: ""പാതിരി കെട്ടിയാൽ പാതിരി കെട്ടിയാൽ"" - এর ഇംഗ്ലീഷ് ಸಮതുല്യം എന്ത്?","Closing the stable door after the horse has bolted","Making hay while the sun shines","A stitch in time saves nine","Don't burn your bridges",A,"പശുപാലनaml quelconque സുരക്ഷാ നടപടി കഴിഞ്ഞ് ശേഷം നടത്തുന്നത് – ‘closing the stable door after the horse has bolted’.",MEDIUM
"പഴമൊഴി: ""അകല്‍വെളിച്ചം"" - এর അർത്ഥം എന്ത്?","Absence makes the heart grow fonder","Out of sight, out of mind","Distance lends enchantment to the view","Far away eyes see more",A,"വิบജ്ജനം പ്രേമം বা ബന്ധത്തെ 강화시키는താണ് – ‘absence makes the heart grow fonder’.",MEDIUM
"പഴമൊഴി: ""വെള്ളം കെട്ടിയാൽ വെള്ളം കെട്ടിയാൽ"" - এর അർത്ഥം എന്ത്?","Water finds its level","Still waters run deep","You can lead a horse to water but you can't make it drink","A rolling stone gathers no moss",A,"വെള്ളം തനതിന്റെ സ്വഭാവനുസരിച്ച് സമതുല്യമേത്തുന്നു – ‘water finds its level’.",MEDIUM
"പഴമൊഴി: ""തേന്‍ കെട്ടിയാൽ തേന്‍ കെട്ടിയാൽ"" - এর അർത്ഥം എന്ത്?","Sweet as honey","Honey catches more flies more than vinegar","The proof of the pudding is in the eating","Sweet words butter no parsnips",A,"തേന്‍ എന്ന് സ്വാഭാവികമായി മധുരം – ‘sweet as honey’.",MEDIUM
"പഴമൊഴി: ""പുളി കെട്ടിയാൽ പുളി കെട്ടിയാൽ"" - এর ഇംഗ്ലീഷ് സമതുല്യം എന്ത്?","Sour grapes","When life gives you lemons, make lemonade","The apple doesn't fall far from the tree","Easy come, easy go",A,"ഒരു דבר ലഭിക്കാതെ ‘ഇത് ചൊല്ലിയാണ്’ എന്ന് പറയുന്നത് – ‘sour grapes’.",MEDIUM
"പഴമൊഴി: ""അവന്‍ കണ്ടു പകര്‍ത്തു"" - এর അർത്ഥം എന്ത്?","Seeing is believing","Hear no evil, see no evil","Eyes are the window to the soul","Appearances can be deceptive",A,"പ്രതീക്ഷയോ ശ്രമയോ ഉനര്‍ത്താതെ, നയനങ്ങള്‍ കണ്ടെന്നാൽ മാത്രം വിശ്വസിക്കുക – ‘seeing is believing’.",MEDIUM
"പഴമൊഴി: ""കുറവ് കണ്ടു പറ്റിയാൽ"" - এর അർത്ഥം എന്ത്?","A stitch in time saves nine","Better late than never","Look before you leap","Don't judge a book by its cover",A,"സമയത്തില്‍ ചെറിയ പരിഹാരം ചെയ്യundosdě büyük問題を防ぐことができる – ‘a stitch in time saves nine’.",MEDIUM
